data_date,time_index,area,num_people
2025-09-13,1,A,0
2025-09-13,1,B,8
2025-09-13,1,C,5
2025-09-13,1,D,13
2025-09-13,1,E,24
2025-09-13,1,F,13
2025-09-13,1,G,9
2025-09-13,1,H,9
2025-09-13,1,J,3
2025-09-13,1,K,5
2025-09-13,1,L,4
2025-09-13,1,M,0
2025-09-13,1,N,7
2025-09-13,1,GH,2
2025-09-13,1,IM1,12
2025-09-13,1,IM2,2
2025-09-13,1,Outside,135
2025-09-13,2,A,0
2025-09-13,2,B,8
2025-09-13,2,C,4
2025-09-13,2,D,24
2025-09-13,2,E,22
2025-09-13,2,F,9
2025-09-13,2,G,8
2025-09-13,2,H,11
2025-09-13,2,J,6
2025-09-13,2,K,4
2025-09-13,2,L,4
2025-09-13,2,M,2
2025-09-13,2,N,8
2025-09-13,2,GH,3
2025-09-13,2,IM1,12
2025-09-13,2,IM2,3
2025-09-13,2,Outside,102
2025-09-13,3,A,0
2025-09-13,3,B,5
2025-09-13,3,C,7
2025-09-13,3,D,14
2025-09-13,3,E,26
2025-09-13,3,F,10
2025-09-13,3,G,5
2025-09-13,3,H,11
2025-09-13,3,J,2
2025-09-13,3,K,4
2025-09-13,3,L,4
2025-09-13,3,M,2
2025-09-13,3,N,5
2025-09-13,3,GH,1
2025-09-13,3,IM1,11
2025-09-13,3,IM2,3
2025-09-13,3,Outside,122
2025-09-13,4,A,0
2025-09-13,4,B,6
2025-09-13,4,C,7
2025-09-13,4,D,15
2025-09-13,4,E,19
2025-09-13,4,F,15
2025-09-13,4,G,9
2025-09-13,4,H,10
2025-09-13,4,J,3
2025-09-13,4,K,5
2025-09-13,4,L,4
2025-09-13,4,M,0
2025-09-13,4,N,5
2025-09-13,4,GH,4
2025-09-13,4,IM1,17
2025-09-13,4,IM2,4
2025-09-13,4,Outside,122
2025-09-13,5,A,0
2025-09-13,5,B,6
2025-09-13,5,C,6
2025-09-13,5,D,20
2025-09-13,5,E,19
2025-09-13,5,F,14
2025-09-13,5,G,13
2025-09-13,5,H,9
2025-09-13,5,J,4
2025-09-13,5,K,4
2025-09-13,5,L,4
2025-09-13,5,M,1
2025-09-13,5,N,9
2025-09-13,5,GH,5
2025-09-13,5,IM1,14
2025-09-13,5,IM2,4
2025-09-13,5,Outside,118
2025-09-13,6,A,0
2025-09-13,6,B,2
2025-09-13,6,C,8
2025-09-13,6,D,18
2025-09-13,6,E,35
2025-09-13,6,F,12
2025-09-13,6,G,8
2025-09-13,6,H,8
2025-09-13,6,J,4
2025-09-13,6,K,7
2025-09-13,6,L,2
2025-09-13,6,M,1
2025-09-13,6,N,8
2025-09-13,6,GH,5
2025-09-13,6,IM1,16
2025-09-13,6,IM2,4
