data_date,time_index,area,num_people
2025-10-03,1,A,0
2025-10-03,1,B,8
2025-10-03,1,C,17
2025-10-03,1,D,14
2025-10-03,1,E,17
2025-10-03,1,F,9
2025-10-03,1,G,15
2025-10-03,1,H,4
2025-10-03,1,J,7
2025-10-03,1,K,1
2025-10-03,1,L,5
2025-10-03,1,M,2
2025-10-03,1,N,3
2025-10-03,1,GH,7
2025-10-03,1,IM1,12
2025-10-03,1,IM2,1
2025-10-03,1,Outside,81
2025-10-03,2,A,0
2025-10-03,2,B,7
2025-10-03,2,C,11
2025-10-03,2,D,14
2025-10-03,2,E,16
2025-10-03,2,F,11
2025-10-03,2,G,11
2025-10-03,2,H,4
2025-10-03,2,J,7
2025-10-03,2,K,3
2025-10-03,2,L,4
2025-10-03,2,M,2
2025-10-03,2,N,3
2025-10-03,2,GH,11
2025-10-03,2,IM1,1
2025-10-03,2,IM2,1
2025-10-03,2,Outside,96
2025-10-03,3,A,0
2025-10-03,3,B,7
2025-10-03,3,C,11
2025-10-03,3,D,14
2025-10-03,3,E,18
2025-10-03,3,F,12
2025-10-03,3,G,8
2025-10-03,3,H,9
2025-10-03,3,J,6
2025-10-03,3,K,4
2025-10-03,3,L,5
2025-10-03,3,M,3
2025-10-03,3,N,2
2025-10-03,3,GH,3
2025-10-03,3,IM1,7
2025-10-03,3,IM2,3
2025-10-03,3,Outside,86
2025-10-03,4,A,0
2025-10-03,4,B,5
2025-10-03,4,C,9
2025-10-03,4,D,18
2025-10-03,4,E,14
2025-10-03,4,F,13
2025-10-03,4,G,4
2025-10-03,4,H,11
2025-10-03,4,J,6
2025-10-03,4,K,3
2025-10-03,4,L,4
2025-10-03,4,M,3
2025-10-03,4,N,1
2025-10-03,4,GH,6
2025-10-03,4,IM1,0
2025-10-03,4,IM2,3
2025-10-03,4,Outside,93
2025-10-03,5,A,0
2025-10-03,5,B,5
2025-10-03,5,C,12
2025-10-03,5,D,13
2025-10-03,5,E,14
2025-10-03,5,F,11
2025-10-03,5,G,6
2025-10-03,5,H,6
2025-10-03,5,J,6
2025-10-03,5,K,4
2025-10-03,5,L,3
2025-10-03,5,M,2
2025-10-03,5,N,1
2025-10-03,5,GH,7
2025-10-03,5,IM1,5
2025-10-03,5,IM2,3
2025-10-03,5,Outside,100
2025-10-03,6,A,0
2025-10-03,6,B,6
2025-10-03,6,C,10
2025-10-03,6,D,16
2025-10-03,6,E,15
2025-10-03,6,F,7
2025-10-03,6,G,5
2025-10-03,6,H,9
2025-10-03,6,J,6
2025-10-03,6,K,4
2025-10-03,6,L,6
2025-10-03,6,M,3
2025-10-03,6,N,3
2025-10-03,6,GH,10
2025-10-03,6,IM1,9
2025-10-03,6,IM2,4
2025-10-03,6,Outside,85
2025-10-03,7,A,0
2025-10-03,7,B,2
2025-10-03,7,C,10
2025-10-03,7,D,16
2025-10-03,7,E,10
2025-10-03,7,F,11
2025-10-03,7,G,4
2025-10-03,7,H,8
2025-10-03,7,J,2
2025-10-03,7,K,4
2025-10-03,7,L,3
2025-10-03,7,M,3
2025-10-03,7,N,2
2025-10-03,7,GH,12
2025-10-03,7,IM1,7
2025-10-03,7,IM2,6
2025-10-03,7,Outside,98
2025-10-03,8,A,0
2025-10-03,8,B,6
2025-10-03,8,C,10
2025-10-03,8,D,15
2025-10-03,8,E,13
2025-10-03,8,F,10
2025-10-03,8,G,12
2025-10-03,8,H,4
2025-10-03,8,J,8
2025-10-03,8,K,4
2025-10-03,8,L,4
2025-10-03,8,M,4
2025-10-03,8,N,2
2025-10-03,8,GH,12
2025-10-03,8,IM1,12
2025-10-03,8,IM2,3
2025-10-03,8,Outside,79
2025-10-03,9,A,0
2025-10-03,9,B,5
2025-10-03,9,C,12
2025-10-03,9,D,17
2025-10-03,9,E,12
2025-10-03,9,F,8
2025-10-03,9,G,7
2025-10-03,9,H,6
2025-10-03,9,J,4
2025-10-03,9,K,4
2025-10-03,9,L,2
2025-10-03,9,M,0
2025-10-03,9,N,2
2025-10-03,9,GH,6
2025-10-03,9,IM1,9
2025-10-03,9,IM2,4
2025-10-03,9,Outside,106
2025-10-03,10,A,0
2025-10-03,10,B,7
2025-10-03,10,C,9
2025-10-03,10,D,13
2025-10-03,10,E,12
2025-10-03,10,F,10
2025-10-03,10,G,6
2025-10-03,10,H,4
2025-10-03,10,J,6
2025-10-03,10,K,4
2025-10-03,10,L,3
2025-10-03,10,M,2
2025-10-03,10,N,2
2025-10-03,10,GH,8
2025-10-03,10,IM1,11
2025-10-03,10,IM2,3
2025-10-03,10,Outside,104
2025-10-03,11,A,0
2025-10-03,11,B,6
2025-10-03,11,C,9
2025-10-03,11,D,10
2025-10-03,11,E,12
2025-10-03,11,F,9
2025-10-03,11,G,7
2025-10-03,11,H,3
2025-10-03,11,J,7
2025-10-03,11,K,3
2025-10-03,11,L,3
2025-10-03,11,M,1
2025-10-03,11,N,2
2025-10-03,11,GH,10
2025-10-03,11,IM1,6
2025-10-03,11,IM2,6
2025-10-03,11,Outside,103
2025-10-03,12,A,0
2025-10-03,12,B,9
2025-10-03,12,C,7
2025-10-03,12,D,11
2025-10-03,12,E,12
2025-10-03,12,F,11
2025-10-03,12,G,9
2025-10-03,12,H,7
2025-10-03,12,J,6
2025-10-03,12,K,4
2025-10-03,12,L,5
2025-10-03,12,M,2
2025-10-03,12,N,1
2025-10-03,12,GH,9
2025-10-03,12,IM1,13
2025-10-03,12,IM2,6
2025-10-03,12,Outside,89
2025-10-03,13,A,0
2025-10-03,13,B,5
2025-10-03,13,C,9
2025-10-03,13,D,12
2025-10-03,13,E,15
2025-10-03,13,F,9
2025-10-03,13,G,5
2025-10-03,13,H,5
2025-10-03,13,J,5
2025-10-03,13,K,4
2025-10-03,13,L,3
2025-10-03,13,M,1
2025-10-03,13,N,2
2025-10-03,13,GH,9
2025-10-03,13,IM1,11
2025-10-03,13,IM2,4
2025-10-03,13,Outside,91
2025-10-03,14,A,0
2025-10-03,14,B,7
2025-10-03,14,C,11
2025-10-03,14,D,14
2025-10-03,14,E,11
2025-10-03,14,F,17
2025-10-03,14,G,5
2025-10-03,14,H,6
2025-10-03,14,J,6
2025-10-03,14,K,4
2025-10-03,14,L,4
2025-10-03,14,M,0
2025-10-03,14,N,2
2025-10-03,14,GH,5
2025-10-03,14,IM1,12
2025-10-03,14,IM2,6
2025-10-03,14,Outside,90
2025-10-03,15,A,0
2025-10-03,15,B,4
2025-10-03,15,C,10
2025-10-03,15,D,14
2025-10-03,15,E,12
2025-10-03,15,F,6
2025-10-03,15,G,7
2025-10-03,15,H,5
2025-10-03,15,J,6
2025-10-03,15,K,6
2025-10-03,15,L,2
2025-10-03,15,M,1
2025-10-03,15,N,2
2025-10-03,15,GH,9
2025-10-03,15,IM1,11
2025-10-03,15,IM2,4
2025-10-03,15,Outside,102
2025-10-03,16,A,1
2025-10-03,16,B,6
2025-10-03,16,C,13
2025-10-03,16,D,14
2025-10-03,16,E,12
2025-10-03,16,F,8
2025-10-03,16,G,11
2025-10-03,16,H,12
2025-10-03,16,J,6
2025-10-03,16,K,6
2025-10-03,16,L,4
2025-10-03,16,M,2
2025-10-03,16,N,3
2025-10-03,16,GH,7
2025-10-03,16,IM1,9
2025-10-03,16,IM2,1
2025-10-03,16,Outside,85
2025-10-03,17,A,0
2025-10-03,17,B,5
2025-10-03,17,C,18
2025-10-03,17,D,14
2025-10-03,17,E,11
2025-10-03,17,F,7
2025-10-03,17,G,13
2025-10-03,17,H,9
2025-10-03,17,J,4
2025-10-03,17,K,4
2025-10-03,17,L,2
2025-10-03,17,M,1
2025-10-03,17,N,2
2025-10-03,17,GH,7
2025-10-03,17,IM1,7
2025-10-03,17,IM2,1
2025-10-03,17,Outside,110
2025-10-03,18,A,1
2025-10-03,18,B,8
2025-10-03,18,C,10
2025-10-03,18,D,16
2025-10-03,18,E,11
2025-10-03,18,F,11
2025-10-03,18,G,9
2025-10-03,18,H,8
2025-10-03,18,J,3
2025-10-03,18,K,6
2025-10-03,18,L,4
2025-10-03,18,M,1
2025-10-03,18,N,1
2025-10-03,18,GH,3
2025-10-03,18,IM1,14
2025-10-03,18,IM2,5
2025-10-03,18,Outside,89
2025-10-03,19,A,0
2025-10-03,19,B,9
2025-10-03,19,C,10
2025-10-03,19,D,14
2025-10-03,19,E,12
2025-10-03,19,F,10
2025-10-03,19,G,11
2025-10-03,19,H,11
2025-10-03,19,J,4
2025-10-03,19,K,2
2025-10-03,19,L,4
2025-10-03,19,M,0
2025-10-03,19,N,4
2025-10-03,19,GH,6
2025-10-03,19,IM1,11
2025-10-03,19,IM2,3
2025-10-03,19,Outside,87
2025-10-03,20,A,0
2025-10-03,20,B,6
2025-10-03,20,C,10
2025-10-03,20,D,14
2025-10-03,20,E,14
2025-10-03,20,F,11
2025-10-03,20,G,7
2025-10-03,20,H,7
2025-10-03,20,J,5
2025-10-03,20,K,3
2025-10-03,20,L,4
2025-10-03,20,M,2
2025-10-03,20,N,4
2025-10-03,20,GH,3
2025-10-03,20,IM1,11
2025-10-03,20,IM2,3
2025-10-03,20,Outside,86
2025-10-03,21,A,0
2025-10-03,21,B,4
2025-10-03,21,C,18
2025-10-03,21,D,11
2025-10-03,21,E,12
2025-10-03,21,F,12
2025-10-03,21,G,11
2025-10-03,21,H,7
2025-10-03,21,J,3
2025-10-03,21,K,4
2025-10-03,21,L,4
2025-10-03,21,M,1
2025-10-03,21,N,4
2025-10-03,21,GH,8
2025-10-03,21,IM1,9
2025-10-03,21,IM2,2
2025-10-03,21,Outside,85
2025-10-03,22,A,0
2025-10-03,22,B,3
2025-10-03,22,C,14
2025-10-03,22,D,13
2025-10-03,22,E,9
2025-10-03,22,F,9
2025-10-03,22,G,7
2025-10-03,22,H,10
2025-10-03,22,J,6
2025-10-03,22,K,3
2025-10-03,22,L,3
2025-10-03,22,M,4
2025-10-03,22,N,5
2025-10-03,22,GH,4
2025-10-03,22,IM1,13
2025-10-03,22,IM2,5
2025-10-03,22,Outside,90
2025-10-03,23,A,0
2025-10-03,23,B,4
2025-10-03,23,C,17
2025-10-03,23,D,13
2025-10-03,23,E,13
2025-10-03,23,F,9
2025-10-03,23,G,10
2025-10-03,23,H,11
2025-10-03,23,J,4
2025-10-03,23,K,4
2025-10-03,23,L,4
2025-10-03,23,M,4
2025-10-03,23,N,4
2025-10-03,23,GH,4
2025-10-03,23,IM1,5
2025-10-03,23,IM2,2
2025-10-03,23,Outside,93
2025-10-03,24,A,0
2025-10-03,24,B,8
2025-10-03,24,C,11
2025-10-03,24,D,16
2025-10-03,24,E,10
2025-10-03,24,F,11
2025-10-03,24,G,7
2025-10-03,24,H,7
2025-10-03,24,J,6
2025-10-03,24,K,6
2025-10-03,24,L,3
2025-10-03,24,M,2
2025-10-03,24,N,3
2025-10-03,24,GH,11
2025-10-03,24,IM1,9
2025-10-03,24,IM2,5
2025-10-03,24,Outside,89
2025-10-03,25,A,0
2025-10-03,25,B,4
2025-10-03,25,C,14
2025-10-03,25,D,16
2025-10-03,25,E,9
2025-10-03,25,F,7
2025-10-03,25,G,10
2025-10-03,25,H,16
2025-10-03,25,J,5
2025-10-03,25,K,4
2025-10-03,25,L,2
2025-10-03,25,M,1
2025-10-03,25,N,2
2025-10-03,25,GH,4
2025-10-03,25,IM1,13
2025-10-03,25,IM2,2
2025-10-03,25,Outside,99
2025-10-03,26,A,0
2025-10-03,26,B,7
2025-10-03,26,C,18
2025-10-03,26,D,12
2025-10-03,26,E,14
2025-10-03,26,F,7
2025-10-03,26,G,8
2025-10-03,26,H,13
2025-10-03,26,J,6
2025-10-03,26,K,3
2025-10-03,26,L,3
2025-10-03,26,M,1
2025-10-03,26,N,2
2025-10-03,26,GH,9
2025-10-03,26,IM1,13
2025-10-03,26,IM2,4
2025-10-03,26,Outside,81
2025-10-03,27,A,0
2025-10-03,27,B,5
2025-10-03,27,C,13
2025-10-03,27,D,7
2025-10-03,27,E,14
2025-10-03,27,F,9
2025-10-03,27,G,7
2025-10-03,27,H,14
2025-10-03,27,J,4
2025-10-03,27,K,2
2025-10-03,27,L,3
2025-10-03,27,M,2
2025-10-03,27,N,4
2025-10-03,27,GH,11
2025-10-03,27,IM1,6
2025-10-03,27,IM2,2
2025-10-03,27,Outside,96
2025-10-03,28,A,0
2025-10-03,28,B,4
2025-10-03,28,C,12
2025-10-03,28,D,13
2025-10-03,28,E,11
2025-10-03,28,F,10
2025-10-03,28,G,7
2025-10-03,28,H,12
2025-10-03,28,J,6
2025-10-03,28,K,5
2025-10-03,28,L,3
2025-10-03,28,M,1
2025-10-03,28,N,4
2025-10-03,28,GH,9
2025-10-03,28,IM1,13
2025-10-03,28,IM2,4
2025-10-03,28,Outside,98
2025-10-03,29,A,0
2025-10-03,29,B,4
2025-10-03,29,C,12
2025-10-03,29,D,17
2025-10-03,29,E,15
2025-10-03,29,F,18
2025-10-03,29,G,12
2025-10-03,29,H,16
2025-10-03,29,J,4
2025-10-03,29,K,7
2025-10-03,29,L,3
2025-10-03,29,M,3
2025-10-03,29,N,2
2025-10-03,29,GH,5
2025-10-03,29,IM1,6
2025-10-03,29,IM2,6
2025-10-03,29,Outside,78
2025-10-03,30,A,0
2025-10-03,30,B,5
2025-10-03,30,C,12
2025-10-03,30,D,16
2025-10-03,30,E,11
2025-10-03,30,F,12
2025-10-03,30,G,6
2025-10-03,30,H,14
2025-10-03,30,J,8
2025-10-03,30,K,5
2025-10-03,30,L,4
2025-10-03,30,M,0
2025-10-03,30,N,3
2025-10-03,30,GH,13
2025-10-03,30,IM1,7
2025-10-03,30,IM2,9
2025-10-03,30,Outside,81
2025-10-03,31,A,0
2025-10-03,31,B,5
2025-10-03,31,C,10
2025-10-03,31,D,8
2025-10-03,31,E,14
2025-10-03,31,F,15
2025-10-03,31,G,8
2025-10-03,31,H,17
2025-10-03,31,J,7
2025-10-03,31,K,4
2025-10-03,31,L,1
2025-10-03,31,M,2
2025-10-03,31,N,4
2025-10-03,31,GH,1
2025-10-03,31,IM1,9
2025-10-03,31,IM2,2
2025-10-03,31,Outside,101
2025-10-03,32,A,0
2025-10-03,32,B,8
2025-10-03,32,C,12
2025-10-03,32,D,12
2025-10-03,32,E,10
2025-10-03,32,F,10
2025-10-03,32,G,4
2025-10-03,32,H,16
2025-10-03,32,J,7
2025-10-03,32,K,4
2025-10-03,32,L,3
2025-10-03,32,M,2
2025-10-03,32,N,2
2025-10-03,32,GH,6
2025-10-03,32,IM1,12
2025-10-03,32,IM2,2
2025-10-03,32,Outside,89
2025-10-03,33,A,0
2025-10-03,33,B,6
2025-10-03,33,C,13
2025-10-03,33,D,13
2025-10-03,33,E,11
2025-10-03,33,F,7
2025-10-03,33,G,5
2025-10-03,33,H,15
2025-10-03,33,J,8
2025-10-03,33,K,5
2025-10-03,33,L,3
2025-10-03,33,M,2
2025-10-03,33,N,2
2025-10-03,33,GH,8
2025-10-03,33,IM1,18
2025-10-03,33,IM2,5
2025-10-03,33,Outside,79
2025-10-03,34,A,0
2025-10-03,34,B,6
2025-10-03,34,C,11
2025-10-03,34,D,12
2025-10-03,34,E,13
2025-10-03,34,F,9
2025-10-03,34,G,7
2025-10-03,34,H,16
2025-10-03,34,J,5
2025-10-03,34,K,3
2025-10-03,34,L,2
2025-10-03,34,M,3
2025-10-03,34,N,2
2025-10-03,34,GH,2
2025-10-03,34,IM1,19
2025-10-03,34,IM2,4
2025-10-03,34,Outside,88
2025-10-03,35,A,0
2025-10-03,35,B,8
2025-10-03,35,C,11
2025-10-03,35,D,12
2025-10-03,35,E,12
2025-10-03,35,F,7
2025-10-03,35,G,10
2025-10-03,35,H,12
2025-10-03,35,J,9
2025-10-03,35,K,5
2025-10-03,35,L,3
2025-10-03,35,M,5
2025-10-03,35,N,2
2025-10-03,35,GH,4
2025-10-03,35,IM1,14
2025-10-03,35,IM2,1
2025-10-03,35,Outside,91
2025-10-03,36,A,0
2025-10-03,36,B,7
2025-10-03,36,C,12
2025-10-03,36,D,11
2025-10-03,36,E,10
2025-10-03,36,F,15
2025-10-03,36,G,5
2025-10-03,36,H,17
2025-10-03,36,J,4
2025-10-03,36,K,5
2025-10-03,36,L,3
2025-10-03,36,M,6
2025-10-03,36,N,2
2025-10-03,36,GH,3
2025-10-03,36,IM1,14
2025-10-03,36,IM2,4
2025-10-03,36,Outside,87
2025-10-03,37,A,0
2025-10-03,37,B,8
2025-10-03,37,C,9
2025-10-03,37,D,15
2025-10-03,37,E,15
2025-10-03,37,F,10
2025-10-03,37,G,10
2025-10-03,37,H,10
2025-10-03,37,J,6
2025-10-03,37,K,3
2025-10-03,37,L,2
2025-10-03,37,M,4
2025-10-03,37,N,2
2025-10-03,37,GH,7
2025-10-03,37,IM1,15
2025-10-03,37,IM2,3
2025-10-03,37,Outside,88
2025-10-03,38,A,0
2025-10-03,38,B,8
2025-10-03,38,C,14
2025-10-03,38,D,13
2025-10-03,38,E,12
2025-10-03,38,F,9
2025-10-03,38,G,8
2025-10-03,38,H,10
2025-10-03,38,J,8
2025-10-03,38,K,3
2025-10-03,38,L,3
2025-10-03,38,M,1
2025-10-03,38,N,3
2025-10-03,38,GH,8
2025-10-03,38,IM1,15
2025-10-03,38,IM2,2
2025-10-03,38,Outside,76
2025-10-03,39,A,0
2025-10-03,39,B,5
2025-10-03,39,C,9
2025-10-03,39,D,11
2025-10-03,39,E,12
2025-10-03,39,F,11
2025-10-03,39,G,7
2025-10-03,39,H,8
2025-10-03,39,J,5
2025-10-03,39,K,4
2025-10-03,39,L,4
2025-10-03,39,M,4
2025-10-03,39,N,3
2025-10-03,39,GH,8
2025-10-03,39,IM1,16
2025-10-03,39,IM2,3
2025-10-03,39,Outside,92
2025-10-03,40,A,0
2025-10-03,40,B,7
2025-10-03,40,C,10
2025-10-03,40,D,15
2025-10-03,40,E,18
2025-10-03,40,F,13
2025-10-03,40,G,4
2025-10-03,40,H,10
2025-10-03,40,J,6
2025-10-03,40,K,3
2025-10-03,40,L,5
2025-10-03,40,M,3
2025-10-03,40,N,3
2025-10-03,40,GH,14
2025-10-03,40,IM1,11
2025-10-03,40,IM2,0
2025-10-03,40,Outside,89
2025-10-03,41,A,0
2025-10-03,41,B,7
2025-10-03,41,C,11
2025-10-03,41,D,8
2025-10-03,41,E,13
2025-10-03,41,F,11
2025-10-03,41,G,12
2025-10-03,41,H,11
2025-10-03,41,J,6
2025-10-03,41,K,5
2025-10-03,41,L,5
2025-10-03,41,M,1
2025-10-03,41,N,3
2025-10-03,41,GH,8
2025-10-03,41,IM1,15
2025-10-03,41,IM2,2
2025-10-03,41,Outside,98
2025-10-03,42,A,0
2025-10-03,42,B,5
2025-10-03,42,C,12
2025-10-03,42,D,17
2025-10-03,42,E,10
2025-10-03,42,F,12
2025-10-03,42,G,6
2025-10-03,42,H,14
2025-10-03,42,J,5
2025-10-03,42,K,2
2025-10-03,42,L,5
2025-10-03,42,M,3
2025-10-03,42,N,3
2025-10-03,42,GH,9
2025-10-03,42,IM1,17
2025-10-03,42,IM2,1
2025-10-03,42,Outside,98
2025-10-03,43,A,0
2025-10-03,43,B,6
2025-10-03,43,C,11
2025-10-03,43,D,17
2025-10-03,43,E,16
2025-10-03,43,F,11
2025-10-03,43,G,9
2025-10-03,43,H,13
2025-10-03,43,J,6
2025-10-03,43,K,5
2025-10-03,43,L,1
2025-10-03,43,M,2
2025-10-03,43,N,3
2025-10-03,43,GH,6
2025-10-03,43,IM1,17
2025-10-03,43,IM2,2
2025-10-03,43,Outside,81
2025-10-03,44,A,0
2025-10-03,44,B,7
2025-10-03,44,C,11
2025-10-03,44,D,10
2025-10-03,44,E,13
2025-10-03,44,F,9
2025-10-03,44,G,5
2025-10-03,44,H,11
2025-10-03,44,J,8
2025-10-03,44,K,4
2025-10-03,44,L,2
2025-10-03,44,M,3
2025-10-03,44,N,4
2025-10-03,44,GH,9
2025-10-03,44,IM1,14
2025-10-03,44,IM2,3
2025-10-03,44,Outside,100
2025-10-03,45,A,0
2025-10-03,45,B,4
2025-10-03,45,C,12
2025-10-03,45,D,9
2025-10-03,45,E,10
2025-10-03,45,F,11
2025-10-03,45,G,11
2025-10-03,45,H,12
2025-10-03,45,J,5
2025-10-03,45,K,5
2025-10-03,45,L,4
2025-10-03,45,M,5
2025-10-03,45,N,2
2025-10-03,45,GH,9
2025-10-03,45,IM1,13
2025-10-03,45,IM2,4
2025-10-03,45,Outside,102
2025-10-03,46,A,0
2025-10-03,46,B,9
2025-10-03,46,C,9
2025-10-03,46,D,16
2025-10-03,46,E,19
2025-10-03,46,F,9
2025-10-03,46,G,8
2025-10-03,46,H,12
2025-10-03,46,J,5
2025-10-03,46,K,7
2025-10-03,46,L,4
2025-10-03,46,M,3
2025-10-03,46,N,2
2025-10-03,46,GH,11
2025-10-03,46,IM1,21
2025-10-03,46,IM2,2
2025-10-03,46,Outside,86
2025-10-03,47,A,0
2025-10-03,47,B,5
2025-10-03,47,C,11
2025-10-03,47,D,24
2025-10-03,47,E,19
2025-10-03,47,F,15
2025-10-03,47,G,8
2025-10-03,47,H,11
2025-10-03,47,J,5
2025-10-03,47,K,6
2025-10-03,47,L,4
2025-10-03,47,M,1
2025-10-03,47,N,3
2025-10-03,47,GH,9
2025-10-03,47,IM1,14
2025-10-03,47,IM2,5
2025-10-03,47,Outside,73
2025-10-03,48,A,0
2025-10-03,48,B,6
2025-10-03,48,C,11
2025-10-03,48,D,8
2025-10-03,48,E,20
2025-10-03,48,F,17
2025-10-03,48,G,6
2025-10-03,48,H,11
2025-10-03,48,J,5
2025-10-03,48,K,6
2025-10-03,48,L,5
2025-10-03,48,M,5
2025-10-03,48,N,3
2025-10-03,48,GH,6
2025-10-03,48,IM1,13
2025-10-03,48,IM2,7
2025-10-03,48,Outside,102
2025-10-03,49,A,0
2025-10-03,49,B,6
2025-10-03,49,C,11
2025-10-03,49,D,13
2025-10-03,49,E,15
2025-10-03,49,F,15
2025-10-03,49,G,12
2025-10-03,49,H,13
2025-10-03,49,J,5
2025-10-03,49,K,5
2025-10-03,49,L,2
