data_date,time_index,area,num_people
2025-09-09,1,A,0
2025-09-09,1,B,3
2025-09-09,1,C,3
2025-09-09,1,D,7
2025-09-09,1,E,8
2025-09-09,1,F,14
2025-09-09,1,G,15
2025-09-09,1,H,15
2025-09-09,1,J,4
2025-09-09,1,K,1
2025-09-09,1,L,2
2025-09-09,1,M,1
2025-09-09,1,N,3
2025-09-09,1,GH,13
2025-09-09,1,IM1,8
2025-09-09,1,IM2,5
2025-09-09,1,Outside,62
2025-09-09,2,A,0
2025-09-09,2,B,4
2025-09-09,2,C,4
2025-09-09,2,D,8
2025-09-09,2,E,5
2025-09-09,2,F,6
2025-09-09,2,G,15
2025-09-09,2,H,13
2025-09-09,2,J,3
2025-09-09,2,K,1
2025-09-09,2,L,2
2025-09-09,2,M,1
2025-09-09,2,N,4
2025-09-09,2,GH,8
2025-09-09,2,IM1,16
2025-09-09,2,IM2,9
2025-09-09,2,Outside,66
2025-09-09,3,A,0
2025-09-09,3,B,5
2025-09-09,3,C,2
2025-09-09,3,D,8
2025-09-09,3,E,7
2025-09-09,3,F,6
2025-09-09,3,G,7
2025-09-09,3,H,18
2025-09-09,3,J,0
2025-09-09,3,K,2
2025-09-09,3,L,2
2025-09-09,3,M,1
2025-09-09,3,N,3
2025-09-09,3,GH,9
2025-09-09,3,IM1,11
2025-09-09,3,IM2,9
2025-09-09,3,Outside,71
2025-09-09,4,A,1
2025-09-09,4,B,6
2025-09-09,4,C,2
2025-09-09,4,D,8
2025-09-09,4,E,9
2025-09-09,4,F,4
2025-09-09,4,G,15
2025-09-09,4,H,13
2025-09-09,4,J,2
2025-09-09,4,K,3
2025-09-09,4,L,1
2025-09-09,4,M,1
2025-09-09,4,N,3
2025-09-09,4,GH,14
2025-09-09,4,IM1,14
2025-09-09,4,IM2,4
2025-09-09,4,Outside,66
2025-09-09,5,A,0
2025-09-09,5,B,4
2025-09-09,5,C,4
2025-09-09,5,D,6
2025-09-09,5,E,7
2025-09-09,5,F,8
2025-09-09,5,G,13
2025-09-09,5,H,15
2025-09-09,5,J,1
2025-09-09,5,K,4
2025-09-09,5,L,1
2025-09-09,5,M,1
2025-09-09,5,N,3
2025-09-09,5,GH,12
2025-09-09,5,IM1,16
2025-09-09,5,IM2,2
2025-09-09,5,Outside,70
2025-09-09,6,A,0
2025-09-09,6,B,3
2025-09-09,6,C,5
2025-09-09,6,D,10
2025-09-09,6,E,5
2025-09-09,6,F,6
2025-09-09,6,G,9
2025-09-09,6,H,17
2025-09-09,6,J,3
2025-09-09,6,K,1
2025-09-09,6,L,1
2025-09-09,6,M,2
2025-09-09,6,N,3
2025-09-09,6,GH,9
2025-09-09,6,IM1,13
2025-09-09,6,IM2,4
2025-09-09,6,Outside,70
2025-09-09,7,A,0
2025-09-09,7,B,4
2025-09-09,7,C,3
2025-09-09,7,D,9
2025-09-09,7,E,7
2025-09-09,7,F,8
2025-09-09,7,G,10
2025-09-09,7,H,13
2025-09-09,7,J,4
2025-09-09,7,K,0
2025-09-09,7,L,1
2025-09-09,7,M,1
2025-09-09,7,N,4
2025-09-09,7,GH,12
2025-09-09,7,IM1,10
2025-09-09,7,IM2,3
2025-09-09,7,Outside,67
2025-09-09,8,A,0
2025-09-09,8,B,3
2025-09-09,8,C,4
2025-09-09,8,D,8
2025-09-09,8,E,8
2025-09-09,8,F,2
2025-09-09,8,G,13
2025-09-09,8,H,12
2025-09-09,8,J,5
2025-09-09,8,K,1
2025-09-09,8,L,1
2025-09-09,8,M,1
2025-09-09,8,N,4
2025-09-09,8,GH,11
2025-09-09,8,IM1,12
2025-09-09,8,IM2,3
2025-09-09,8,Outside,79
2025-09-09,9,A,1
2025-09-09,9,B,0
2025-09-09,9,C,4
2025-09-09,9,D,7
2025-09-09,9,E,9
2025-09-09,9,F,5
2025-09-09,9,G,10
2025-09-09,9,H,11
2025-09-09,9,J,2
2025-09-09,9,K,3
2025-09-09,9,L,1
2025-09-09,9,M,2
2025-09-09,9,N,3
2025-09-09,9,GH,12
2025-09-09,9,IM1,8
2025-09-09,9,IM2,1
2025-09-09,9,Outside,73
2025-09-09,10,A,1
2025-09-09,10,B,2
2025-09-09,10,C,4
2025-09-09,10,D,9
2025-09-09,10,E,11
2025-09-09,10,F,8
2025-09-09,10,G,8
2025-09-09,10,H,15
2025-09-09,10,J,3
2025-09-09,10,K,2
2025-09-09,10,L,2
2025-09-09,10,M,1
2025-09-09,10,N,3
2025-09-09,10,GH,10
2025-09-09,10,IM1,11
2025-09-09,10,IM2,3
2025-09-09,10,Outside,67
2025-09-09,11,A,0
2025-09-09,11,B,3
2025-09-09,11,C,3
2025-09-09,11,D,9
2025-09-09,11,E,9
2025-09-09,11,F,3
2025-09-09,11,G,10
2025-09-09,11,H,15
2025-09-09,11,J,5
2025-09-09,11,K,3
2025-09-09,11,L,1
2025-09-09,11,M,1
2025-09-09,11,N,3
2025-09-09,11,GH,12
2025-09-09,11,IM1,11
2025-09-09,11,IM2,6
2025-09-09,11,Outside,67
2025-09-09,12,A,0
2025-09-09,12,B,3
2025-09-09,12,C,4
2025-09-09,12,D,10
2025-09-09,12,E,11
2025-09-09,12,F,9
2025-09-09,12,G,8
2025-09-09,12,H,15
2025-09-09,12,J,2
2025-09-09,12,K,0
2025-09-09,12,L,2
2025-09-09,12,M,1
2025-09-09,12,N,3
2025-09-09,12,GH,12
2025-09-09,12,IM1,6
2025-09-09,12,IM2,5
2025-09-09,12,Outside,70
2025-09-09,13,A,0
2025-09-09,13,B,5
2025-09-09,13,C,5
2025-09-09,13,D,11
2025-09-09,13,E,7
2025-09-09,13,F,4
2025-09-09,13,G,11
2025-09-09,13,H,10
2025-09-09,13,J,3
2025-09-09,13,K,2
2025-09-09,13,L,2
2025-09-09,13,M,1
2025-09-09,13,N,3
2025-09-09,13,GH,10
2025-09-09,13,IM1,15
2025-09-09,13,IM2,6
2025-09-09,13,Outside,70
2025-09-09,14,A,0
2025-09-09,14,B,4
2025-09-09,14,C,2
2025-09-09,14,D,14
2025-09-09,14,E,8
2025-09-09,14,F,6
2025-09-09,14,G,7
2025-09-09,14,H,15
2025-09-09,14,J,5
2025-09-09,14,K,1
2025-09-09,14,L,2
2025-09-09,14,M,1
2025-09-09,14,N,3
2025-09-09,14,GH,12
2025-09-09,14,IM1,13
2025-09-09,14,IM2,3
2025-09-09,14,Outside,70
2025-09-09,15,A,0
2025-09-09,15,B,4
2025-09-09,15,C,1
2025-09-09,15,D,13
2025-09-09,15,E,10
2025-09-09,15,F,9
2025-09-09,15,G,9
2025-09-09,15,H,21
2025-09-09,15,J,7
2025-09-09,15,K,4
2025-09-09,15,L,2
2025-09-09,15,M,1
2025-09-09,15,N,3
2025-09-09,15,GH,10
2025-09-09,15,IM1,16
2025-09-09,15,IM2,5
2025-09-09,15,Outside,57
2025-09-09,16,A,0
2025-09-09,16,B,4
2025-09-09,16,C,4
2025-09-09,16,D,11
2025-09-09,16,E,12
2025-09-09,16,F,6
2025-09-09,16,G,7
2025-09-09,16,H,11
2025-09-09,16,J,8
2025-09-09,16,K,4
2025-09-09,16,L,2
2025-09-09,16,M,1
2025-09-09,16,N,3
2025-09-09,16,GH,13
2025-09-09,16,IM1,17
2025-09-09,16,IM2,5
2025-09-09,16,Outside,79
2025-09-09,17,A,0
2025-09-09,17,B,5
2025-09-09,17,C,2
2025-09-09,17,D,16
2025-09-09,17,E,12
2025-09-09,17,F,8
2025-09-09,17,G,10
2025-09-09,17,H,14
2025-09-09,17,J,9
2025-09-09,17,K,4
2025-09-09,17,L,2
2025-09-09,17,M,1
2025-09-09,17,N,3
2025-09-09,17,GH,14
2025-09-09,17,IM1,10
2025-09-09,17,IM2,2
2025-09-09,17,Outside,64
2025-09-09,18,A,0
2025-09-09,18,B,4
