sward_id,pos_x,pos_y,floor,Building,description
21000072,802,338,3F,ICN_Airport, AIRLINE_COUNTER / G9
21000073,762,271,3F,ICN_Airport, AIRLINE_COUNTER / H18
21000074,762,338,3F,ICN_Airport, AIRLINE_COUNTER / H9
21000075,1384,271,3F,ICN_Airport, AIRLINE_COUNTER / D18
21000076,722,364,3F,ICN_Airport,
21000077,1424,351,3F,ICN_Airport, AIRLINE_COUNTER / C25
21000079,562,252,3F,ICN_Airport,CHARGER / J COUNTER left / C14
2100007A,802,305,3F,ICN_Airport, AIRLINE_COUNTER / G14
2100007B,1264,463,3F,ICN_Airport,CHECK-IN SINAGE / D-E / CS2
2100007C,662,470,3F,ICN_Airport,CHECK-IN SINAGE / H-J / CS5
2100007D,1123,404,3F,ICN_Airport, AIRLINE_COUNTER / F1
2100007E,802,371,3F,ICN_Airport, AIRLINE_COUNTER / G4
2100007F,1404,477,3F,ICN_Airport,CHECK-IN SINAGE / C-D / CS1
21000080,1384,344,3F,ICN_Airport, AIRLINE_COUNTER / D9
21000081,762,371,3F,ICN_Airport, AIRLINE_COUNTER / H4
21000082,1123,497,3F,ICN_Airport,PANEL / GATE5-6 ESCALATOR / P8
21000083,802,271,3F,ICN_Airport, AIRLINE_COUNTER / G17
21000084,1143,463,3F,ICN_Airport,CHECK-IN SINAGE / E-F / CS3
21000085,1424,271,3F,ICN_Airport, AIRLINE_COUNTER / C34
21000086,542,483,3F,ICN_Airport,CHECK-IN SINAGE / J-K / CS6
21000087,1123,371,3F,ICN_Airport, AIRLINE_COUNTER / F4
21000088,1424,384,3F,ICN_Airport, AIRLINE_COUNTER / C21
21000089,662,311,3F,ICN_Airport, AIRLINE_COUNTER / H34
2100008A,782,470,3F,ICN_Airport,CHECK-IN SINAGE / G-H / CS4
2100008B,1384,305,3F,ICN_Airport, AIRLINE_COUNTER / D14
2100008C,1384,410,3F,ICN_Airport,
2100008E,662,377,3F,ICN_Airport, AIRLINE_COUNTER / H29
2100008F,662,344,3F,ICN_Airport, AIRLINE_COUNTER / H24
21000090,762,404,3F,ICN_Airport, AIRLINE_COUNTER / H1
21000091,1424,417,3F,ICN_Airport, AIRLINE_COUNTER / C17
21000092,802,404,3F,ICN_Airport, AIRLINE_COUNTER / G1
21000093,762,305,3F,ICN_Airport, AIRLINE_COUNTER / H14
21000094,401,516,3F,ICN_Airport,PANEL / GATE10-11 ESCALATOR / P16
21000095,662,410,3F,ICN_Airport, AIRLINE_COUNTER / H21
21000096,1123,298,3F,ICN_Airport, AIRLINE_COUNTER / F14
21000097,481,530,3F,ICN_Airport,PANEL / GATE10 / P15
21000098,1123,132,3F,ICN_Airport,PANEL / E-F SECTION 큰짐부치는곳 / P23 / EXIT
21000099,1344,523,3F,ICN_Airport,PANEL / GATE4 / P5
2100009A,1464,245,3F,ICN_Airport,CHARGER / C COUNTER left / C4
2100009B,1565,516,3F,ICN_Airport,PANEL / GATE2-3 ESCALATOR / P3
2100009C,1484,530,3F,ICN_Airport,PANEL / GATE3 / P4
2100009D,923,225,3F,ICN_Airport,PANEL / Great.H g방향 / P20
2100009E,441,166,3F,ICN_Airport,PANEL / K SECTION / P25 / EXIT
2100009F,1324,238,3F,ICN_Airport,CHARGER / D COUNTER left / C6
210000A0,341,543,3F,ICN_Airport,PANEL / GATE11 / P17
210000A1,822,238,3F,ICN_Airport,CHARGER / G COUNTER / C10
210000A2,782,139,3F,ICN_Airport,PANEL / G-H SECTION 큰짐부치는곳 / P24 / EXIT
210000A3,1505,245,3F,ICN_Airport,CHARGER / C COUNTER right / C3
210000A4,762,516,3F,ICN_Airport,PANEL / GATE8 / P12
210000A6,201,285,3F,ICN_Airport,CHARGER / M COUNTER / C18
210000A7,1103,238,3F,ICN_Airport,CHARGER / F COUNTER / C9
210000A8,1785,556,3F,ICN_Airport,PANEL / GATE1 / P1
210000A9,201,556,3F,ICN_Airport,PANEL / GATE12 / P18
210000AA,742,238,3F,ICN_Airport,CHARGER / H COUNTER right / C11
210000AB,1264,497,3F,ICN_Airport,PANEL / GATE4-5 ESCALATOR / P6
210000AC,1184,516,3F,ICN_Airport,PANEL / GATE5 / P7
210000AD,1458,138,3F,ICN_Airport,PANEL / B SECTION 큰짐부치는곳 / P21 / EXIT
210000AE,822,497,3F,ICN_Airport,PANEL / GATE7-8 ESCALATOR / P11
210000AF,1043,516,3F,ICN_Airport,PANEL / GATE6 / P9
210000B0,1645,543,3F,ICN_Airport,PANEL / GATE2 / P2
210000B1,1364,238,3F,ICN_Airport,CHARGER / D COUNTER right / C5
210000B2,702,238,3F,ICN_Airport,CHARGER / H COUNTER left / C12
210000B3,602,245,3F,ICN_Airport,CHARGER / J COUNTER right / C13
210000B4,903,516,3F,ICN_Airport,PANEL / GATE7 / P10
210000B5,80,305,3F,ICN_Airport,CHARGER / N COUNTER / C19
210000B7,1645,252,3F,ICN_Airport,CHARGER / B COUNTER right / C1
210000B8,1184,238,3F,ICN_Airport,CHARGER / E COUNTER left / C8
210000B9,1003,225,3F,ICN_Airport,PANEL / Great.H f방향 / P19
210000BA,361,265,3F,ICN_Airport,CHARGER / L COUNTER right / C16
210000BB,481,252,3F,ICN_Airport,CHARGER / K COUNTER right / C15
210000BD,1424,311,3F,ICN_Airport,
