data_date,time_index,area,num_people
2025-10-04,1,A,0
2025-10-04,1,B,5
2025-10-04,1,C,5
2025-10-04,1,D,13
2025-10-04,1,E,15
2025-10-04,1,F,10
2025-10-04,1,G,7
2025-10-04,1,H,24
2025-10-04,1,J,4
2025-10-04,1,K,8
2025-10-04,1,L,0
2025-10-04,1,M,2
2025-10-04,1,N,4
2025-10-04,1,GH,6
2025-10-04,1,IM1,10
2025-10-04,1,IM2,2
2025-10-04,1,Outside,126
2025-10-04,2,A,0
2025-10-04,2,B,7
2025-10-04,2,C,5
2025-10-04,2,D,10
2025-10-04,2,E,17
2025-10-04,2,F,10
2025-10-04,2,G,6
2025-10-04,2,H,21
2025-10-04,2,J,3
2025-10-04,2,K,13
2025-10-04,2,L,4
2025-10-04,2,M,1
2025-10-04,2,N,5
2025-10-04,2,GH,7
2025-10-04,2,IM1,7
2025-10-04,2,IM2,1
2025-10-04,2,Outside,114
2025-10-04,3,A,0
2025-10-04,3,B,4
2025-10-04,3,C,5
2025-10-04,3,D,17
2025-10-04,3,E,13
2025-10-04,3,F,8
2025-10-04,3,G,7
2025-10-04,3,H,27
2025-10-04,3,J,1
2025-10-04,3,K,6
2025-10-04,3,L,5
2025-10-04,3,M,4
2025-10-04,3,N,2
2025-10-04,3,GH,8
2025-10-04,3,IM1,6
2025-10-04,3,IM2,4
2025-10-04,3,Outside,120
2025-10-04,4,A,0
2025-10-04,4,B,4
2025-10-04,4,C,6
2025-10-04,4,D,12
2025-10-04,4,E,16
2025-10-04,4,F,14
2025-10-04,4,G,7
2025-10-04,4,H,20
2025-10-04,4,J,1
2025-10-04,4,K,8
2025-10-04,4,L,3
2025-10-04,4,M,2
2025-10-04,4,N,3
2025-10-04,4,GH,5
2025-10-04,4,IM1,9
2025-10-04,4,IM2,3
2025-10-04,4,Outside,115
2025-10-04,5,A,0
2025-10-04,5,B,6
2025-10-04,5,C,7
2025-10-04,5,D,13
2025-10-04,5,E,16
2025-10-04,5,F,13
2025-10-04,5,G,10
2025-10-04,5,H,21
2025-10-04,5,J,3
2025-10-04,5,K,7
2025-10-04,5,L,4
2025-10-04,5,M,2
2025-10-04,5,N,4
2025-10-04,5,GH,4
2025-10-04,5,IM1,7
2025-10-04,5,IM2,1
2025-10-04,5,Outside,130
2025-10-04,6,A,0
