data_date,time_index,area,num_people
2025-10-17,1,A,0
2025-10-17,1,B,5
2025-10-17,1,C,9
2025-10-17,1,D,6
2025-10-17,1,E,8
2025-10-17,1,F,6
2025-10-17,1,G,7
2025-10-17,1,H,9
2025-10-17,1,J,1
2025-10-17,1,K,2
2025-10-17,1,L,5
2025-10-17,1,M,0
2025-10-17,1,N,6
2025-10-17,1,GH,8
2025-10-17,1,IM1,16
2025-10-17,1,IM2,5
2025-10-17,1,Outside,78
2025-10-17,2,A,0
2025-10-17,2,B,9
2025-10-17,2,C,6
2025-10-17,2,D,13
2025-10-17,2,E,7
2025-10-17,2,F,9
2025-10-17,2,G,3
2025-10-17,2,H,6
2025-10-17,2,J,3
2025-10-17,2,K,5
2025-10-17,2,L,3
2025-10-17,2,M,0
2025-10-17,2,N,5
2025-10-17,2,GH,10
2025-10-17,2,IM1,12
2025-10-17,2,IM2,1
2025-10-17,2,Outside,68
2025-10-17,3,A,1
2025-10-17,3,B,9
2025-10-17,3,C,9
2025-10-17,3,D,8
2025-10-17,3,E,14
2025-10-17,3,F,9
2025-10-17,3,G,6
2025-10-17,3,H,6
2025-10-17,3,J,3
2025-10-17,3,K,4
2025-10-17,3,L,3
2025-10-17,3,M,0
2025-10-17,3,N,5
2025-10-17,3,GH,9
2025-10-17,3,IM1,10
2025-10-17,3,IM2,0
2025-10-17,3,Outside,70
2025-10-17,4,A,0
2025-10-17,4,B,9
2025-10-17,4,C,6
2025-10-17,4,D,14
2025-10-17,4,E,9
2025-10-17,4,F,7
2025-10-17,4,G,4
2025-10-17,4,H,8
2025-10-17,4,J,2
2025-10-17,4,K,6
2025-10-17,4,L,4
2025-10-17,4,M,1
2025-10-17,4,N,6
2025-10-17,4,GH,8
2025-10-17,4,IM1,7
2025-10-17,4,IM2,2
2025-10-17,4,Outside,79
2025-10-17,5,A,0
2025-10-17,5,B,9
2025-10-17,5,C,9
2025-10-17,5,D,10
2025-10-17,5,E,14
2025-10-17,5,F,9
2025-10-17,5,G,5
2025-10-17,5,H,7
2025-10-17,5,J,0
2025-10-17,5,K,5
2025-10-17,5,L,3
2025-10-17,5,M,0
2025-10-17,5,N,6
2025-10-17,5,GH,12
2025-10-17,5,IM1,5
2025-10-17,5,IM2,4
2025-10-17,5,Outside,70
2025-10-17,6,A,0
2025-10-17,6,B,8
2025-10-17,6,C,5
2025-10-17,6,D,11
2025-10-17,6,E,17
2025-10-17,6,F,5
2025-10-17,6,G,6
2025-10-17,6,H,8
2025-10-17,6,J,1
2025-10-17,6,K,4
2025-10-17,6,L,4
2025-10-17,6,M,0
2025-10-17,6,N,5
2025-10-17,6,GH,9
2025-10-17,6,IM1,6
2025-10-17,6,IM2,3
2025-10-17,6,Outside,67
2025-10-17,7,A,0
2025-10-17,7,B,7
2025-10-17,7,C,8
2025-10-17,7,D,11
2025-10-17,7,E,9
2025-10-17,7,F,5
2025-10-17,7,G,5
2025-10-17,7,H,6
2025-10-17,7,J,1
2025-10-17,7,K,5
2025-10-17,7,L,3
2025-10-17,7,M,0
2025-10-17,7,N,5
2025-10-17,7,GH,6
2025-10-17,7,IM1,10
2025-10-17,7,IM2,5
2025-10-17,7,Outside,80
2025-10-17,8,A,0
2025-10-17,8,B,8
2025-10-17,8,C,8
2025-10-17,8,D,9
2025-10-17,8,E,10
2025-10-17,8,F,6
2025-10-17,8,G,5
2025-10-17,8,H,6
2025-10-17,8,J,2
2025-10-17,8,K,3
2025-10-17,8,L,6
2025-10-17,8,M,0
2025-10-17,8,N,5
2025-10-17,8,GH,9
2025-10-17,8,IM1,11
2025-10-17,8,IM2,5
2025-10-17,8,Outside,74
2025-10-17,9,A,0
2025-10-17,9,B,6
2025-10-17,9,C,6
2025-10-17,9,D,9
2025-10-17,9,E,10
2025-10-17,9,F,12
2025-10-17,9,G,5
2025-10-17,9,H,7
2025-10-17,9,J,0
2025-10-17,9,K,4
2025-10-17,9,L,3
2025-10-17,9,M,0
2025-10-17,9,N,5
2025-10-17,9,GH,13
2025-10-17,9,IM1,9
2025-10-17,9,IM2,4
2025-10-17,9,Outside,64
2025-10-17,10,A,1
2025-10-17,10,B,7
2025-10-17,10,C,6
2025-10-17,10,D,10
2025-10-17,10,E,11
2025-10-17,10,F,8
2025-10-17,10,G,6
2025-10-17,10,H,7
2025-10-17,10,J,2
2025-10-17,10,K,3
2025-10-17,10,L,3
2025-10-17,10,M,0
2025-10-17,10,N,5
2025-10-17,10,GH,10
2025-10-17,10,IM1,10
2025-10-17,10,IM2,2
2025-10-17,10,Outside,77
2025-10-17,11,A,1
2025-10-17,11,B,6
2025-10-17,11,C,9
2025-10-17,11,D,8
2025-10-17,11,E,11
2025-10-17,11,F,8
2025-10-17,11,G,9
2025-10-17,11,H,6
2025-10-17,11,J,4
2025-10-17,11,K,4
2025-10-17,11,L,2
2025-10-17,11,M,0
2025-10-17,11,N,5
2025-10-17,11,GH,7
2025-10-17,11,IM1,6
2025-10-17,11,IM2,4
2025-10-17,11,Outside,69
2025-10-17,12,A,0
2025-10-17,12,B,9
2025-10-17,12,C,5
2025-10-17,12,D,7
2025-10-17,12,E,8
2025-10-17,12,F,6
2025-10-17,12,G,8
2025-10-17,12,H,6
2025-10-17,12,J,2
2025-10-17,12,K,3
2025-10-17,12,L,3
2025-10-17,12,M,0
2025-10-17,12,N,5
2025-10-17,12,GH,6
2025-10-17,12,IM1,12
2025-10-17,12,IM2,3
2025-10-17,12,Outside,80
2025-10-17,13,A,0
2025-10-17,13,B,9
2025-10-17,13,C,7
2025-10-17,13,D,9
2025-10-17,13,E,11
2025-10-17,13,F,8
2025-10-17,13,G,9
2025-10-17,13,H,4
2025-10-17,13,J,1
2025-10-17,13,K,4
2025-10-17,13,L,2
2025-10-17,13,M,0
2025-10-17,13,N,5
2025-10-17,13,GH,7
2025-10-17,13,IM1,14
2025-10-17,13,IM2,5
2025-10-17,13,Outside,65
2025-10-17,14,A,1
2025-10-17,14,B,7
2025-10-17,14,C,6
2025-10-17,14,D,6
2025-10-17,14,E,9
2025-10-17,14,F,7
2025-10-17,14,G,10
2025-10-17,14,H,4
2025-10-17,14,J,3
2025-10-17,14,K,4
2025-10-17,14,L,2
2025-10-17,14,M,0
2025-10-17,14,N,5
2025-10-17,14,GH,6
2025-10-17,14,IM1,14
2025-10-17,14,IM2,1
2025-10-17,14,Outside,78
2025-10-17,15,A,0
2025-10-17,15,B,9
2025-10-17,15,C,8
2025-10-17,15,D,4
2025-10-17,15,E,5
2025-10-17,15,F,8
2025-10-17,15,G,4
2025-10-17,15,H,5
2025-10-17,15,J,2
2025-10-17,15,K,5
2025-10-17,15,L,2
2025-10-17,15,M,1
2025-10-17,15,N,6
