data_date,time_index,area,num_people
2025-10-06,1,A,0
2025-10-06,1,B,7
2025-10-06,1,C,8
2025-10-06,1,D,9
2025-10-06,1,E,15
2025-10-06,1,F,17
2025-10-06,1,G,11
2025-10-06,1,H,7
2025-10-06,1,J,12
2025-10-06,1,K,5
2025-10-06,1,L,5
2025-10-06,1,M,2
2025-10-06,1,N,3
2025-10-06,1,GH,8
2025-10-06,1,IM1,12
2025-10-06,1,IM2,4
2025-10-06,1,Outside,109
2025-10-06,2,A,0
2025-10-06,2,B,8
2025-10-06,2,C,5
2025-10-06,2,D,5
2025-10-06,2,E,21
2025-10-06,2,F,9
2025-10-06,2,G,7
2025-10-06,2,H,9
2025-10-06,2,J,7
2025-10-06,2,K,10
2025-10-06,2,L,4
2025-10-06,2,M,2
2025-10-06,2,N,3
2025-10-06,2,GH,7
2025-10-06,2,IM1,13
2025-10-06,2,IM2,3
2025-10-06,2,Outside,122
2025-10-06,3,A,1
2025-10-06,3,B,3
2025-10-06,3,C,8
2025-10-06,3,D,8
2025-10-06,3,E,20
2025-10-06,3,F,12
2025-10-06,3,G,6
2025-10-06,3,H,9
2025-10-06,3,J,11
2025-10-06,3,K,8
2025-10-06,3,L,4
2025-10-06,3,M,2
2025-10-06,3,N,3
2025-10-06,3,GH,6
2025-10-06,3,IM1,15
2025-10-06,3,IM2,3
2025-10-06,3,Outside,98
2025-10-06,4,A,0
2025-10-06,4,B,8
2025-10-06,4,C,8
2025-10-06,4,D,6
2025-10-06,4,E,18
2025-10-06,4,F,14
2025-10-06,4,G,5
2025-10-06,4,H,5
2025-10-06,4,J,9
2025-10-06,4,K,8
2025-10-06,4,L,4
2025-10-06,4,M,3
2025-10-06,4,N,4
2025-10-06,4,GH,9
2025-10-06,4,IM1,19
2025-10-06,4,IM2,7
2025-10-06,4,Outside,113
2025-10-06,5,A,0
2025-10-06,5,B,6
2025-10-06,5,C,5
2025-10-06,5,D,10
2025-10-06,5,E,20
2025-10-06,5,F,18
2025-10-06,5,G,9
2025-10-06,5,H,6
2025-10-06,5,J,11
2025-10-06,5,K,12
2025-10-06,5,L,5
2025-10-06,5,M,2
2025-10-06,5,N,4
2025-10-06,5,GH,9
2025-10-06,5,IM1,17
2025-10-06,5,IM2,2
2025-10-06,5,Outside,91
2025-10-06,6,A,0
2025-10-06,6,B,5
2025-10-06,6,C,4
2025-10-06,6,D,6
2025-10-06,6,E,15
2025-10-06,6,F,18
2025-10-06,6,G,8
2025-10-06,6,H,8
2025-10-06,6,J,6
2025-10-06,6,K,13
2025-10-06,6,L,5
2025-10-06,6,M,2
2025-10-06,6,N,3
2025-10-06,6,GH,11
2025-10-06,6,IM1,26
2025-10-06,6,IM2,3
2025-10-06,6,Outside,107
2025-10-06,7,A,0
2025-10-06,7,B,7
2025-10-06,7,C,6
2025-10-06,7,D,8
2025-10-06,7,E,20
2025-10-06,7,F,13
2025-10-06,7,G,9
2025-10-06,7,H,10
2025-10-06,7,J,8
2025-10-06,7,K,10
2025-10-06,7,L,4
2025-10-06,7,M,1
2025-10-06,7,N,3
2025-10-06,7,GH,7
2025-10-06,7,IM1,18
2025-10-06,7,IM2,6
2025-10-06,7,Outside,105
2025-10-06,8,A,0
2025-10-06,8,B,5
2025-10-06,8,C,5
2025-10-06,8,D,11
2025-10-06,8,E,25
2025-10-06,8,F,11
2025-10-06,8,G,8
2025-10-06,8,H,12
2025-10-06,8,J,7
2025-10-06,8,K,11
2025-10-06,8,L,6
2025-10-06,8,M,1
2025-10-06,8,N,4
2025-10-06,8,GH,11
2025-10-06,8,IM1,12
2025-10-06,8,IM2,4
2025-10-06,8,Outside,102
2025-10-06,9,A,0
2025-10-06,9,B,6
2025-10-06,9,C,6
2025-10-06,9,D,9
2025-10-06,9,E,18
2025-10-06,9,F,17
2025-10-06,9,G,4
2025-10-06,9,H,12
2025-10-06,9,J,8
2025-10-06,9,K,9
2025-10-06,9,L,3
2025-10-06,9,M,1
2025-10-06,9,N,3
2025-10-06,9,GH,8
2025-10-06,9,IM1,10
2025-10-06,9,IM2,5
2025-10-06,9,Outside,93
2025-10-06,10,A,0
2025-10-06,10,B,6
2025-10-06,10,C,4
2025-10-06,10,D,12
2025-10-06,10,E,14
2025-10-06,10,F,17
2025-10-06,10,G,11
2025-10-06,10,H,10
2025-10-06,10,J,6
2025-10-06,10,K,12
2025-10-06,10,L,4
2025-10-06,10,M,1
2025-10-06,10,N,2
2025-10-06,10,GH,4
2025-10-06,10,IM1,16
2025-10-06,10,IM2,4
2025-10-06,10,Outside,85
2025-10-06,11,A,0
2025-10-06,11,B,6
2025-10-06,11,C,3
2025-10-06,11,D,10
2025-10-06,11,E,13
2025-10-06,11,F,14
2025-10-06,11,G,8
2025-10-06,11,H,7
2025-10-06,11,J,7
2025-10-06,11,K,8
2025-10-06,11,L,2
2025-10-06,11,M,3
2025-10-06,11,N,3
2025-10-06,11,GH,7
2025-10-06,11,IM1,11
2025-10-06,11,IM2,5
2025-10-06,11,Outside,113
2025-10-06,12,A,1
2025-10-06,12,B,5
2025-10-06,12,C,6
2025-10-06,12,D,6
2025-10-06,12,E,13
2025-10-06,12,F,16
2025-10-06,12,G,8
2025-10-06,12,H,9
2025-10-06,12,J,5
2025-10-06,12,K,12
2025-10-06,12,L,3
2025-10-06,12,M,1
2025-10-06,12,N,3
2025-10-06,12,GH,8
2025-10-06,12,IM1,10
2025-10-06,12,IM2,2
2025-10-06,12,Outside,107
2025-10-06,13,A,0
2025-10-06,13,B,7
2025-10-06,13,C,7
2025-10-06,13,D,6
2025-10-06,13,E,12
