data_date,time_index,area,num_people
2025-10-23,1,A,0
2025-10-23,1,B,8
2025-10-23,1,C,6
2025-10-23,1,D,10
2025-10-23,1,E,22
2025-10-23,1,F,13
2025-10-23,1,G,9
2025-10-23,1,H,7
2025-10-23,1,J,1
2025-10-23,1,K,0
2025-10-23,1,L,1
2025-10-23,1,M,1
2025-10-23,1,N,2
2025-10-23,1,GH,4
2025-10-23,1,IM1,12
2025-10-23,1,IM2,3
2025-10-23,1,Outside,104
2025-10-23,2,A,0
2025-10-23,2,B,8
2025-10-23,2,C,8
2025-10-23,2,D,11
2025-10-23,2,E,14
2025-10-23,2,F,20
2025-10-23,2,G,4
2025-10-23,2,H,7
2025-10-23,2,J,3
2025-10-23,2,K,1
2025-10-23,2,L,1
2025-10-23,2,M,1
2025-10-23,2,N,2
2025-10-23,2,GH,8
2025-10-23,2,IM1,9
2025-10-23,2,IM2,1
2025-10-23,2,Outside,113
2025-10-23,3,A,0
2025-10-23,3,B,6
2025-10-23,3,C,7
2025-10-23,3,D,9
2025-10-23,3,E,19
2025-10-23,3,F,15
2025-10-23,3,G,6
2025-10-23,3,H,10
2025-10-23,3,J,3
2025-10-23,3,K,1
2025-10-23,3,L,0
2025-10-23,3,M,1
2025-10-23,3,N,3
2025-10-23,3,GH,7
2025-10-23,3,IM1,15
2025-10-23,3,IM2,3
2025-10-23,3,Outside,112
2025-10-23,4,A,0
2025-10-23,4,B,8
2025-10-23,4,C,7
2025-10-23,4,D,13
2025-10-23,4,E,13
2025-10-23,4,F,14
2025-10-23,4,G,6
2025-10-23,4,H,9
2025-10-23,4,J,5
2025-10-23,4,K,1
2025-10-23,4,L,1
2025-10-23,4,M,1
2025-10-23,4,N,2
2025-10-23,4,GH,9
2025-10-23,4,IM1,7
2025-10-23,4,IM2,6
2025-10-23,4,Outside,106
2025-10-23,5,A,0
2025-10-23,5,B,5
2025-10-23,5,C,6
2025-10-23,5,D,12
2025-10-23,5,E,18
2025-10-23,5,F,14
2025-10-23,5,G,8
2025-10-23,5,H,10
2025-10-23,5,J,3
2025-10-23,5,K,1
2025-10-23,5,L,0
2025-10-23,5,M,1
2025-10-23,5,N,2
2025-10-23,5,GH,8
2025-10-23,5,IM1,6
2025-10-23,5,IM2,4
2025-10-23,5,Outside,111
2025-10-23,6,A,0
2025-10-23,6,B,7
2025-10-23,6,C,5
2025-10-23,6,D,7
2025-10-23,6,E,21
